City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,naze,28.3667,129.4833,17.91,86,11,5.41,JP,1675717749
141,novoselytsya,48.2193,26.2653,-4.34,86,100,5.2,UA,1675717749
142,pangnirtung,66.1451,-65.7125,-37.03,95,100,1.72,CA,1675717750
143,hovd,48.0056,91.6419,-17.24,87,5,0.78,MN,1675717750
144,ambon,-3.6954,128.1814,25.08,94,40,0.51,ID,1675717750
145,alpena,45.0617,-83.4327,-2.16,77,0,4.63,US,1675717751
146,butaritari,3.0707,172.7902,27.44,79,59,8.87,KI,1675717752
147,codrington,-38.2667,141.9667,15.47,78,47,2.71,AU,1675717752
148,tuatapere,-46.1333,167.6833,15.39,79,91,2.48,NZ,1675717752
149,kachug,53.9606,105.8817,-21.1,99,92,1.64,RU,1675717753
150,umm lajj,25.0213,37.2685,19.54,44,94,3.49,SA,1675717753
151,sobolevo,54.4299,31.8996,-4.98,97,100,1.04,RU,1675717753
152,yongan,39.6957,113.6871,-3.03,50,4,1.6,CN,1675717754
153,hella,67.2,14.4333,8.27,88,100,16.98,NO,1675717754
154,syracuse,37.0881,15.2792,7.65,52,100,3.22,IT,1675717754
155,puerto ayora,-0.7393,-90.3518,29.98,74,51,6.71,EC,1675717755
156,le moule,16.3332,-61.3473,25.66,100,11,0.89,GP,1675717755
157,huarmey,-10.0681,-78.1522,24.79,74,59,3.49,PE,1675717705
158,biograd na moru,43.9433,15.4519,0.42,52,65,7.68,HR,1675717756
159,yellowknife,62.456,-114.3525,-18.0,94,99,2.52,CA,1675717732
160,ojuelos de jalisco,21.8667,-101.5833,22.74,11,1,4.02,MX,1675717756
161,sept-iles,50.2001,-66.3821,-9.0,67,20,3.09,CA,1675717557
162,bandarbeyla,9.4942,50.8122,23.9,76,86,6.22,SO,1675717757
163,brooks,50.5834,-111.8851,2.24,67,4,4.29,CA,1675717757
164,port elizabeth,-33.918,25.5701,23.39,93,20,3.09,ZA,1675717555
165,mar del plata,-38.0023,-57.5575,22.01,59,0,8.23,AR,1675717739
166,homer,59.6425,-151.5483,-0.06,87,100,5.66,US,1675717491
167,san patricio,28.017,-97.5169,26.97,56,13,9.17,US,1675717758
168,velingara,13.15,-14.1167,28.23,15,38,2.88,SN,1675717758
169,norman wells,65.282,-126.8329,-25.98,76,75,1.54,CA,1675717550
170,harper,4.375,-7.7169,26.37,80,100,3.87,LR,1675717759
171,kangasala,61.4638,24.076,-3.15,100,78,2.0,FI,1675717759
172,kaabong,3.4836,34.1492,21.02,30,5,2.43,UG,1675717760
173,springdale,36.1867,-94.1288,18.85,65,40,12.35,US,1675717760
174,yumen,40.2833,97.2,-3.89,45,75,4.25,CN,1675717760
175,husavik,66.0449,-17.3389,-1.31,83,69,6.31,IS,1675717761
176,henties bay,-22.116,14.2845,18.11,89,57,1.58,NA,1675717761
177,berlevag,70.8578,29.0864,4.0,81,100,13.89,NO,1675717762
178,vostok,46.4856,135.8833,-20.36,98,100,2.15,RU,1675717569
179,broken hill,-31.95,141.4333,21.11,36,1,4.74,AU,1675717762
180,talnakh,69.4865,88.3972,-23.22,99,100,2.32,RU,1675717493
181,airai,-8.9266,125.4092,15.47,91,74,0.92,TL,1675717709
182,narsaq,60.9167,-46.05,-14.88,66,40,3.64,GL,1675717763
183,ilulissat,69.2167,-51.1,-18.99,78,75,3.6,GL,1675717764
184,egvekinot,66.3167,-179.1667,-27.27,88,100,4.71,RU,1675717764
185,coruripe,-10.1256,-36.1756,26.53,74,100,5.51,BR,1675717747
186,glace bay,46.1969,-59.957,2.25,85,100,2.57,CA,1675717765
187,sirari,-1.2333,34.4333,18.04,68,63,2.6,TZ,1675717765
188,qaanaaq,77.484,-69.3632,-27.93,98,100,1.64,GL,1675717765
189,fairbanks,64.8378,-147.7164,-14.95,78,40,0.0,US,1675717502
190,beira,-19.8436,34.8389,26.03,76,28,3.21,MZ,1675717766
191,gao,16.6362,1.637,26.89,11,94,3.71,ML,1675717766
192,severo-kurilsk,50.6789,156.125,-4.16,71,100,11.3,RU,1675717709
193,ancud,-41.8697,-73.8203,16.96,66,0,2.63,CL,1675717767
194,rockingham,42.9668,-71.0995,7.31,61,100,0.45,US,1675717683
195,tiksi,71.6872,128.8694,-35.53,100,90,2.32,RU,1675717588
196,sioux lookout,50.1001,-91.917,0.36,84,100,6.4,CA,1675717671
197,banda aceh,5.5577,95.3222,25.2,83,97,0.99,ID,1675717767
198,ust-omchug,61.15,149.6333,-35.7,97,96,1.8,RU,1675717768
199,ribeira grande,38.5167,-28.7,14.32,72,40,11.18,PT,1675717768
200,pevek,69.7008,170.3133,-36.81,100,100,1.61,RU,1675717571
201,tazmalt,36.3868,4.3989,9.35,69,77,1.91,DZ,1675717769
202,iquique,-20.2208,-70.1431,26.02,76,97,3.79,CL,1675717769
203,taksimo,56.3444,114.8794,-19.14,87,100,1.78,RU,1675717769
204,marawi,7.9986,124.2928,19.07,91,100,1.08,PH,1675717770
205,bagdarin,54.4333,113.6,-23.46,94,99,1.73,RU,1675717770
206,guerrero negro,27.9769,-114.0611,17.07,54,98,8.96,MX,1675717770
207,taoudenni,22.6783,-3.9836,20.2,19,100,3.0,ML,1675717771
208,beloha,-25.1667,45.05,23.38,85,100,5.44,MG,1675717771
209,anaconda,46.1285,-112.9423,3.55,73,72,4.39,US,1675717772
210,mitzic,0.7821,11.549,21.11,93,71,1.47,GA,1675717772
211,chokurdakh,70.6333,147.9167,-31.53,99,100,1.3,RU,1675717772
212,ajdabiya,30.7554,20.2263,12.57,56,100,5.29,LY,1675717773
213,polunochnoye,60.8697,60.4153,-22.38,100,79,1.27,RU,1675717773
214,sorong,-0.8833,131.25,25.68,83,100,1.98,ID,1675717773
215,malanje,-9.5402,16.341,17.13,97,65,1.87,AO,1675717774
216,nelson bay,-32.7167,152.15,25.0,89,88,2.68,AU,1675717774
217,grand-lahou,5.1367,-5.0242,26.72,84,96,5.65,CI,1675717774
218,lagoa,39.05,-27.9833,13.28,73,100,11.95,PT,1675717775
219,balkhash,46.844,74.9804,-15.6,98,96,1.54,KZ,1675717775
220,ust-kalmanka,52.1207,83.305,-5.0,95,100,3.81,RU,1675717775
221,saint-pierre,-21.3393,55.4781,25.82,78,0,3.09,RE,1675717776
222,cortez,37.3489,-108.5859,3.91,51,0,8.23,US,1675717776
223,montmagny,48.9734,2.3469,4.97,80,0,4.12,FR,1675717585
224,rawson,-43.3002,-65.1023,29.16,30,0,6.17,AR,1675717776
225,sisimiut,66.9395,-53.6735,-19.62,91,100,2.61,GL,1675717777
226,nalut,30.3333,10.85,11.27,49,96,4.39,LY,1675717777
227,uvarovka,55.5278,35.6061,-12.35,97,66,1.74,RU,1675717778
228,quirinopolis,-18.4483,-50.4517,26.6,77,88,1.94,BR,1675717778
229,lasa,46.6166,10.7002,-0.91,96,93,1.93,IT,1675717502
230,caarapo,-22.6342,-54.8222,26.21,70,82,1.92,BR,1675717778
231,cidreira,-30.1811,-50.2056,25.56,65,12,3.86,BR,1675717779
232,magadi,12.9667,77.2333,18.48,58,100,3.14,IN,1675717577
233,nanortalik,60.1432,-45.2371,-11.23,84,100,6.72,GL,1675717779
234,gigmoto,13.7796,124.39,24.84,89,68,3.39,PH,1675717780
235,labuhan,-6.8844,112.2051,24.6,84,100,3.68,ID,1675717780
236,itarema,-2.9248,-39.9167,26.31,78,100,4.86,BR,1675717725
237,bollnas,61.3482,16.3946,-2.88,92,96,1.74,SE,1675717780
238,teguldet,57.3064,88.1667,-20.25,97,90,2.02,RU,1675717781
239,zheshart,62.0731,49.5733,-20.21,100,100,1.25,RU,1675717781
240,thohoyandou,-22.9456,30.485,21.04,78,38,1.61,ZA,1675717781
241,langres,47.8333,5.3333,-2.12,76,4,6.21,FR,1675717782
242,narrabri,-30.3167,149.7833,23.07,71,58,0.89,AU,1675717782
243,usinsk,65.9939,57.5281,-20.22,100,100,3.94,RU,1675717782
244,asyut,27.181,31.1837,9.34,36,69,3.35,EG,1675717783
245,nemuro,43.3236,145.575,-4.11,94,100,4.5,JP,1675717783
246,castleisland,52.2333,-9.4667,7.66,92,100,2.25,IE,1675717784
247,mangrol,21.1167,70.1167,20.21,76,3,3.72,IN,1675717784
248,fortuna,40.5982,-124.1573,12.74,69,100,0.89,US,1675717654
249,kargil,34.5667,76.1,-22.3,87,58,1.8,IN,1675717784
250,ostrovnoy,68.0531,39.5131,-5.99,88,100,9.69,RU,1675717678
251,los llanos de aridane,28.6585,-17.9182,14.86,74,20,7.72,ES,1675717785
252,saskylakh,71.9167,114.0833,-31.74,100,98,1.41,RU,1675717773
253,bundaberg,-24.85,152.35,24.01,87,24,1.34,AU,1675717733
254,dombarovskiy,50.7587,59.5386,-24.11,100,79,1.36,RU,1675717785
255,adrar,20.5022,-10.0711,17.93,22,58,4.03,MR,1675717785
256,barbate,36.1924,-5.9219,11.44,87,2,3.6,ES,1675717786
257,skjervoy,70.0311,20.9714,10.0,88,100,7.43,NO,1675717786
258,mackay,-21.15,149.2,26.49,84,35,7.19,AU,1675717787
259,solnechnyy,50.7214,136.6319,-22.11,98,100,1.32,RU,1675717787
260,belmonte,-15.8631,-38.8828,26.85,78,0,5.41,BR,1675717529
261,san policarpo,12.1791,125.5072,25.91,82,93,4.9,PH,1675717787
262,karasjok,69.4719,25.5112,2.18,84,100,9.19,NO,1675717788
263,cherskiy,68.75,161.3,-38.29,100,100,2.52,RU,1675717788
264,ginda,30.6945,78.4932,3.91,49,4,3.65,IN,1675717789
265,moyale,3.5167,39.0584,22.61,32,8,5.55,KE,1675717789
266,bredasdorp,-34.5322,20.0403,21.66,87,92,2.13,ZA,1675717688
267,trincomalee,8.5711,81.2335,25.59,83,51,5.62,LK,1675717789
268,hithadhoo,-0.6,73.0833,27.32,71,63,5.34,MV,1675717426
269,kuching,1.55,110.3333,26.68,89,40,0.51,MY,1675717790
270,victoria point,-27.5833,153.3,23.86,91,95,4.11,AU,1675717790
271,poum,-20.2333,164.0167,27.52,83,92,6.75,NC,1675717790
272,sakaiminato,35.55,133.2333,7.14,70,99,2.49,JP,1675717791
273,lompoc,34.6391,-120.4579,18.21,63,0,5.81,US,1675717791
274,tocopilla,-22.092,-70.1979,23.75,74,50,3.38,CL,1675717791
275,alugan,12.2188,125.4808,25.46,84,95,4.46,PH,1675717792
276,kashi,39.4547,75.9797,-3.56,71,100,1.43,CN,1675717792
277,zhigansk,66.7697,123.3711,-48.32,100,71,0.75,RU,1675717793
278,rock sound,24.9,-76.2,23.76,74,1,7.35,BS,1675717711
279,kavaratti,10.5669,72.642,26.96,75,84,5.96,IN,1675717793
280,kyabram,-36.3167,145.05,15.49,72,0,6.04,AU,1675717794
281,denpasar,-8.65,115.2167,25.81,94,75,7.72,ID,1675717503
282,itoman,26.1247,127.6694,20.01,88,40,6.17,JP,1675717794
283,mehamn,71.0357,27.8492,3.97,81,75,13.89,NO,1675717795
284,palana,59.1167,159.9667,-26.67,98,98,4.13,RU,1675717795
285,laguna,38.421,-121.4238,16.16,46,0,7.72,US,1675717795
286,asmar,35.0333,71.3581,5.67,59,12,4.73,AF,1675717795
287,thiers,45.8333,3.5,4.18,92,47,1.48,FR,1675717796
288,tateyama,34.9833,139.8667,8.94,66,100,4.44,JP,1675717796
289,georgetown,5.4112,100.3354,25.96,78,20,2.57,MY,1675717643
290,khor,47.8861,134.9464,-17.8,98,100,1.61,RU,1675717796
291,yerofey pavlovich,53.9667,121.9667,-30.35,96,26,1.47,RU,1675717797
292,saint-augustin,51.226,-58.6502,-17.66,84,84,2.15,CA,1675717797
293,vila velha,-20.3297,-40.2925,27.19,80,0,3.09,BR,1675717798
294,atasu,48.6814,71.6433,-11.63,97,100,3.43,KZ,1675717798
295,yangjiang,21.85,111.9667,18.16,95,83,1.4,CN,1675717798
296,the valley,18.217,-63.0578,26.57,81,3,8.01,AI,1675717799
297,khandbari,27.3747,87.2039,11.86,78,67,0.81,NP,1675717799
298,asamankese,5.8601,-0.6635,25.81,84,62,3.6,GH,1675717800
299,chancay,-11.5714,-77.2672,24.4,75,35,3.22,PE,1675717800
300,tena,-0.9833,-77.8167,27.09,68,47,1.9,EC,1675717801
301,manali,13.1667,80.2667,24.05,79,4,1.27,IN,1675717801
302,klaksvik,62.2266,-6.589,6.51,70,100,13.52,FO,1675717555
303,xacmaz,41.4635,48.806,4.16,88,100,1.43,AZ,1675717801
304,oshawa,43.9001,-78.8496,-0.05,68,7,0.45,CA,1675717768
305,sinnamary,5.3833,-52.95,24.94,88,73,5.85,GF,1675717802
306,kampong thum,12.7111,104.8887,23.97,74,41,3.47,KH,1675717657
307,richards bay,-28.783,32.0377,22.63,92,0,1.49,ZA,1675717802
308,farkhor,37.4922,69.4036,6.18,72,22,2.75,TJ,1675717764
309,smithers,54.7804,-127.1743,1.84,97,97,0.41,CA,1675717803
310,kaitangata,-46.2817,169.8464,19.66,48,13,4.49,NZ,1675717803
311,koumac,-20.5667,164.2833,28.15,77,98,1.46,NC,1675717804
312,shakhtinsk,49.71,72.5872,-10.64,97,94,2.92,KZ,1675717804
313,rudbar,30.15,62.6,14.15,22,27,3.93,AF,1675717805
314,sherbakul,54.6316,72.3963,-22.05,100,100,1.95,RU,1675717805
315,university park,25.7465,-80.3676,26.11,69,75,6.69,US,1675717806
316,banjar,-8.19,114.9675,24.39,90,100,1.65,ID,1675717806
317,alexandria,31.2156,29.9553,12.84,58,93,8.95,EG,1675717807
318,imeni poliny osipenko,52.4201,136.4853,-27.16,100,100,0.68,RU,1675717807
319,phalombe,-15.8064,35.6507,19.0,96,100,0.19,MW,1675717807
320,lavrentiya,65.5833,-171.0,-26.33,89,100,1.88,RU,1675717532
321,east millcreek,40.7,-111.8105,2.99,84,75,4.12,US,1675717629
322,provideniya,64.3833,-173.3,-17.94,71,40,1.0,RU,1675717808
323,iqaluit,63.7506,-68.5145,-35.48,93,89,3.39,CA,1675717601
324,fenoarivo,-18.933,47.4354,19.04,100,75,3.6,MG,1675717809
325,karratha,-20.7377,116.8463,29.59,66,3,1.64,AU,1675717809
326,tromso,69.6496,18.957,5.21,87,75,9.26,NO,1675717810
327,ratnagiri,16.9833,73.3,21.73,65,27,3.58,IN,1675717810
328,gouyave,12.1646,-61.7296,24.81,79,100,8.12,GD,1675717811
329,khani,41.9563,42.9566,3.76,67,100,2.38,GE,1675717811
330,suntar,62.1444,117.6319,-42.19,100,93,0.7,RU,1675717812
331,kloulklubed,7.0419,134.2556,25.28,76,100,9.14,PW,1675717812
332,benguela,-12.5763,13.4055,24.68,80,89,2.77,AO,1675717812
333,corn island,12.1694,-83.0418,26.2,78,2,8.63,NI,1675717810
334,santa cruz das palmeiras,-21.8269,-47.2486,23.38,90,97,1.17,BR,1675717813
335,saint-paul,-21.0096,55.2707,26.06,80,45,1.22,RE,1675717813
336,yangliuqing,39.1375,116.9997,-6.03,71,1,2.14,CN,1675717814
337,houston,29.7633,-95.3633,24.54,64,40,9.77,US,1675717518
338,arman,59.7,150.1667,-28.85,83,84,3.96,RU,1675717814
339,winslow,35.0242,-110.6974,9.1,31,40,7.72,US,1675717731
340,hirado,33.3597,129.5531,10.29,90,100,6.75,JP,1675717815
341,nizwa,22.9333,57.5333,21.72,42,98,1.72,OM,1675717816
342,hay river,60.8156,-115.7999,-16.45,87,100,3.4,CA,1675717816
343,san joaquin,37.9333,-121.3011,15.74,53,0,5.66,US,1675717817
344,strezhevoy,60.7333,77.5889,-18.47,99,100,0.76,RU,1675717817
345,tabas,33.5959,56.9244,12.5,30,97,2.26,IR,1675717817
346,bubaque,11.2833,-15.8333,24.55,69,4,10.35,GW,1675717818
347,darfield,53.5339,-1.376,4.02,80,29,1.36,GB,1675717818
348,lakhdenpokhya,61.5198,30.1992,-14.9,98,83,1.84,RU,1675717819
349,saint-leu,-21.15,55.2833,25.48,79,41,0.46,RE,1675717819
350,sur,22.5667,59.5289,21.56,64,82,2.36,OM,1675717819
351,bozoum,6.3193,16.3799,23.2,17,24,1.37,CF,1675717820
352,iguape,-24.7081,-47.5553,26.83,79,33,3.71,BR,1675717599
353,clyde river,70.4692,-68.5914,-33.87,68,20,2.06,CA,1675717551
354,kruisfontein,-34.0033,24.7314,22.16,91,84,0.86,ZA,1675717820
355,worland,44.0169,-107.9554,4.25,65,100,2.24,US,1675717821
356,visby,57.6409,18.296,-3.88,93,26,3.09,SE,1675717822
357,maragogi,-9.0122,-35.2225,26.01,74,100,4.09,BR,1675717822
358,banepa,27.6298,85.5214,8.96,87,20,1.03,NP,1675717822
359,jurm,36.8648,70.8342,-4.82,66,96,2.51,AF,1675717823
360,eureka,40.8021,-124.1637,12.89,73,99,1.34,US,1675717823
361,choya,52.0108,86.5467,-11.08,98,97,1.47,RU,1675717824
362,shangrao,28.4532,117.9686,10.82,98,100,1.05,CN,1675717824
363,burnie,-41.0667,145.9167,12.75,79,7,3.63,AU,1675717824
364,rincon,32.296,-81.2354,20.98,33,20,1.54,US,1675717695
365,matara,5.9485,80.5353,24.21,90,100,1.63,LK,1675717825
366,lishan,31.8576,113.2951,7.14,76,66,1.96,CN,1675717825
